,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,2014.0,2014.0,2014.0,498.0,498.0,498.0,4.0,4.0,4.0
min,0.0,-3.8031,-1.956,0.2703,-0.3054,-1.9605,0.0,-2.2032,-6.361
max,1.2097,0.2663,6.0383,3.618,2.3375,3.2501,2.6233,1.1714,-3.2871
mean,0.1417,-0.1241,0.0247,0.6393,0.4581,-0.0342,1.1704,-0.6366,-5.1459
median,0.1179,-0.0674,0.0175,0.52,0.3794,-0.0188,1.0291,-0.7574,-5.4678
std,0.1137,0.2868,0.3027,0.3783,0.2898,0.4411,1.2812,1.5504,1.3094
skew,1.4155,-2.9493,3.9851,2.9377,2.0652,0.8313,0.1581,0.1585,0.7813
kurtosis,5.1396,19.7243,87.3848,13.5584,7.4188,9.5864,-1.765,-1.6229,-0.8618
