,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,720.0,720.0,720.0,376.0,376.0,376.0,1419.0,1419.0,1419.0
min,0.0,-9.8067,-18.9575,1.0597,-0.5169,-7.3237,0.0,-0.7975,-3.7159
max,3.1955,-0.3596,6.3081,6.6259,5.0342,6.4532,2.4571,1.033,2.6287
mean,0.2819,-1.0925,0.091,1.9569,1.4691,-0.0896,0.6085,0.1326,0.0177
median,0.1889,-0.8781,0.1218,1.7329,1.3143,-0.0263,0.5694,0.0858,0.0415
std,0.3341,0.7618,1.0915,0.7905,0.6875,1.1832,0.3603,0.3709,0.6057
skew,3.0907,-3.7241,-7.246,2.4302,1.4817,-0.914,0.6199,0.2684,-0.6913
kurtosis,16.2545,27.544,130.4978,8.8594,4.4637,12.2455,0.4029,-0.7587,3.8611
