,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,1238.0,1238.0,1238.0,215.0,215.0,215.0,1063.0,1063.0,1063.0
min,0.0,-6.2889,-3.4794,1.3733,-1.9685,-8.3214,0.088,-2.8074,-16.0697
max,4.5635,0.3148,8.1023,16.5354,4.7796,5.8323,2.2231,1.4975,2.4803
mean,0.2983,-0.7077,0.1525,2.5144,1.8468,0.179,0.8669,0.4113,-0.1328
median,0.2208,-0.5491,0.1124,2.2304,1.7599,0.1794,0.824,0.3722,0.0
std,0.332,0.6872,0.8204,1.2758,0.8781,1.5464,0.3892,0.4142,0.9515
skew,4.8157,-2.7747,1.894,6.6636,-0.0297,-0.7781,0.54,-0.2364,-6.221
kurtosis,44.5572,13.4517,16.5456,66.8457,3.3246,7.7972,-0.1343,3.0367,86.121
