,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,993.0,993.0,993.0,301.0,301.0,301.0,230.0,230.0,230.0
min,0.0,-5.1887,-11.4679,1.2948,-1.6188,-5.8185,0.0,-29.228,-18.1303
max,11.5527,4.7927,6.1794,24.2547,15.9892,36.3179,7.8714,-0.8254,27.3148
mean,1.5489,0.2097,-0.8907,4.9238,4.1134,1.7369,1.2091,-5.8273,1.2548
median,1.444,0.3049,-0.7841,4.3927,3.7066,1.086,0.7483,-5.0081,0.4475
std,1.1182,1.5024,1.9325,2.2769,2.1711,3.8212,1.3347,3.5339,4.1466
skew,1.3304,-0.287,-0.8574,3.1267,1.4634,3.0849,1.9447,-2.4652,1.4288
kurtosis,6.5167,-0.2869,3.4699,18.4659,4.4259,22.4523,4.3321,10.1037,8.9628
