,open_low_1,open_close_1,Gap_1,open_low_0,open_close_0,Gap_0,open_low_2,open_close_2,gap_2
count,4785.0,4785.0,4785.0,2.0,2.0,2.0,1410.0,1410.0,1410.0
min,0.0,-8.8591,-9.0807,57.7269,1.118,-0.5691,0.6985,-4.4279,-11.346
max,4.8165,0.7,5.801,89.967,2.5348,0.2443,18.3793,7.3245,4.7379
mean,0.4079,-0.3641,0.0607,73.847,1.8264,-0.1624,1.6992,1.2492,-0.0168
median,0.3428,-0.2249,0.0759,73.847,1.8264,-0.1624,1.4334,1.0742,0.0755
std,0.3602,0.7402,0.686,22.7972,1.0018,0.5751,1.0224,0.826,0.9857
skew,2.7547,-2.6871,-0.9087,0.0,0.0,0.0,6.3443,1.593,-2.1216
kurtosis,19.3356,15.4433,16.947,-2.0,-2.0,-2.0,80.6624,9.879,21.2418
