,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1158.0,1158.0,1158.0,1119.0,1119.0,1119.0
min,-5.7906,0.0704,0.0,0.0047,-0.0,0.0467
max,0.0,7.1596,7.4061,4.6015,3.6116,6.6184
mean,-0.7961,1.1588,0.4359,0.8646,0.3846,1.325
median,-0.6077,0.9714,0.3146,0.6609,0.272,1.1174
std,0.7064,0.7738,0.5091,0.7732,0.3878,0.8699
skew,-1.9822,2.1605,4.9654,1.5812,2.367,1.7476
kurtosis,6.5481,8.6035,45.7309,3.0272,9.366,4.7143
