,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1234.0,1234.0,1234.0,1043.0,1043.0,1043.0
min,-3.2714,-0.0,0.0,0.0347,-0.0,0.0347
max,0.0,5.2504,4.2535,2.786,0.71,4.0596
mean,-0.1806,0.2842,0.0948,0.22,0.0923,0.3182
median,-0.1362,0.2304,0.0766,0.1695,0.0787,0.2641
std,0.191,0.2399,0.1519,0.205,0.0875,0.2618
skew,-4.5384,8.9086,17.2931,3.6013,1.8465,6.3037
kurtosis,56.5916,159.5384,455.7618,28.0861,5.6712,75.8582
