,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,157472.0,157472.0,157472.0,143661.0,143661.0,143661.0
min,-19.814,-0.0,0.0,0.0,-0.0,0.0
max,0.0,41.6638,21.7703,16.6542,21.9772,24.5048
mean,-0.2244,0.3291,0.0931,0.2411,0.0937,0.3642
median,-0.1299,0.2089,0.0265,0.1412,0.0314,0.2299
std,0.3323,0.4616,0.1917,0.3468,0.1844,0.4899
skew,-7.1931,11.7558,18.3181,6.5934,18.1323,8.0954
kurtosis,158.1752,562.0888,1364.7175,118.2762,1521.7929,174.2378
