,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1247.0,1247.0,1247.0,1029.0,1029.0,1029.0
min,-6.9717,0.043,0.0,0.0059,-0.0,0.1609
max,0.0,8.224,7.6444,7.2606,5.5002,7.7602
mean,-1.0028,1.4646,0.4819,0.9955,0.5275,1.5249
median,-0.7787,1.2638,0.3388,0.7013,0.3982,1.2415
std,0.9328,1.0146,0.5366,0.9452,0.5076,1.0588
skew,-2.0882,2.1621,4.0881,1.6915,2.7692,1.7225
kurtosis,6.7388,7.3402,34.2454,3.7711,14.837,4.3594
