,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,325.0,325.0,325.0,483.0,483.0,483.0,1708.0,1708.0,1708.0
min,1.7456,-1.1706,-18.666,0.0,-14.9551,-6.1589,0.0,-1.133,-5.9026
max,20.7373,11.5604,11.9124,12.3141,-0.7471,7.1563,3.442,1.7118,4.0589
mean,3.4553,2.2893,-0.0731,0.5344,-1.9468,0.1775,0.847,0.2064,0.087
median,2.9266,1.9909,0.0,0.3082,-1.5138,0.1807,0.749,0.1524,0.0901
std,1.9602,1.3627,2.2727,0.8554,1.3902,1.1391,0.5572,0.5791,0.6343
skew,3.9627,2.1283,-2.005,7.0827,-3.5386,0.1503,0.7434,0.2766,-1.0901
kurtosis,24.0142,9.7398,21.9596,80.5302,20.4947,8.5777,0.1489,-0.6276,13.4431
