,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,1359.0,1359.0,1359.0,310.0,310.0,310.0,848.0,848.0,848.0
min,0.0,-0.9999,-12.9684,1.6454,-0.7396,-7.0876,0.0,-8.7098,-10.3175
max,3.3226,1.533,8.2374,7.7651,7.2673,7.7901,4.5053,-0.444,6.9629
mean,0.8687,0.2513,0.0254,2.9336,2.2444,0.0555,0.3922,-1.4525,0.0387
median,0.79,0.1943,0.0636,2.624,2.0564,0.109,0.2637,-1.192,0.0556
std,0.5155,0.5062,0.971,1.0768,0.9629,1.4546,0.4518,0.9056,1.3091
skew,0.6463,0.3516,-1.8938,1.7898,1.1427,0.5729,3.504,-2.4766,-1.0208
kurtosis,0.25,-0.6819,38.0855,4.1103,3.8457,7.3868,21.0275,9.9752,12.4994
