,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,970.0,970.0,970.0,1041.0,1041.0,1041.0
min,-9.0438,0.1384,0.0,0.008,-0.0,0.0501
max,0.0,20.6634,10.4684,16.6667,8.7095,16.6667
mean,-1.5761,2.3215,0.8281,1.6061,0.7396,2.4545
median,-1.2203,1.9668,0.645,1.2654,0.5567,2.1277
std,1.4172,1.6119,0.8301,1.4106,0.7659,1.5495
skew,-1.6285,2.9519,3.2214,2.3274,3.1797,2.2811
kurtosis,3.4557,20.8372,22.8376,13.7371,19.494,11.7667
