strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,XLU,SELL,76.92,7039.8,0.03,211.19,2,at_open,0.993,0.007,at_close
Strat_1,USO,HOLD,74.82,5866.52,4.0,23466.08,313,at_open,0.994494,0.005506,at_close
Strat_1,XLI,HOLD,134.49,9820.43,1.66,16301.91,121,at_open,0.998163,0.001837,at_close
Strat_1,AMLP,SELL,51.94,4766.76,1.3,6196.79,119,at_open,0.99251,0.00749,at_close
Strat_1,SPY,HOLD,575.46,29410.41,4.0,117641.64,204,at_open,0.998378,0.001622,at_close
Strat_2,SPY,BUY,575.46,95258.14,0.295,28101.15,48,at_open,at_close,0.38,at_close
