strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,SELL,72.79,9877.17,3.025,29878.44,410,at_open,0.993,0.007,at_close
Short_Open,USO,SELL,77.74,9717.94,1.96,19047.16,245,at_open,0.971905,0.028095,at_close
Short_Open,XLI,SELL,127.86,10192.41,1.765,17989.6,140,at_open,0.994031,0.005969,at_close
Short_Open,AMLP,SELL,48.08,9570.42,1.0,9570.42,199,at_open,0.99251,0.00749,at_close
Short_Open,SPY,SELL,550.81,11199.44,1.0,11199.44,20,at_open,0.996044,0.003956,at_close
