strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,AMLP,SELL,48.62,5193.8,2.925,15191.86,312,at_open,0.99251,0.00749,at_close
Strat_1,IVE,SELL,177.98,3855.28,4.0,15421.12,86,at_open,0.995226,0.004774,at_close
Strat_1,IVW,SELL,88.25,4043.73,1.85,7480.9,84,at_open,0.985666,0.014334,at_close
Strat_1,IWM,HOLD,187.47,6157.18,4.0,24628.72,131,at_open,0.997386,0.002614,at_close
Strat_1,SPY,SELL,527.25,3251.94,4.0,13007.76,24,at_open,0.996044,0.003956,at_close
Strat_1,USO,SELL,69.37,4079.8,4.0,16319.2,235,at_open,0.971905,0.028095,at_close
Strat_1,XLF,SELL,47.16,4110.01,4.0,16440.04,348,at_open,0.99338,0.00662,at_close
Strat_1,XLI,SELL,124.63,4246.8,3.465,14715.16,118,at_open,0.981627,0.018373,at_close
Strat_1,XLU,SELL,78.0,6646.52,2.63,17480.35,224,at_open,0.981,0.019,at_close
Strat_1,XLV,SELL,135.06,5550.93,1.635,9075.77,67,at_open,0.993545,0.006455,at_close
Strat_2,SPY,BUY,527.25,98831.76,0.68,67205.6,127,at_open,at_close,0.38,at_close
