strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,AMLP,SELL,47.02,6022.62,3.29,19814.42,421,at_open,0.970734,0.029266,at_close
Strat_1,IVE,SELL,172.67,5829.45,4.0,23317.8,135,at_open,0.995226,0.004774,at_close
Strat_1,IVW,SELL,83.65,5552.24,1.89,10493.73,125,at_open,0.985666,0.014334,at_close
Strat_1,IWM,SELL,181.19,5964.06,4.0,23856.24,131,at_open,0.991905,0.008095,at_close
Strat_1,SPY,SELL,505.28,5566.87,4.0,22267.48,44,at_open,0.996044,0.003956,at_close
Strat_1,USO,SELL,67.92,5931.96,4.0,23727.84,349,at_open,0.971905,0.028095,at_close
Strat_1,XLF,SELL,44.2,5841.93,4.0,23367.72,528,at_open,0.99338,0.00662,at_close
Strat_1,XLI,SELL,117.94,5523.4,2.545,14057.05,119,at_open,0.981627,0.018373,at_close
Strat_1,XLU,SELL,74.53,5895.77,2.32,13678.19,183,at_open,0.993,0.007,at_close
Strat_1,XLV,SELL,135.28,5845.52,1.29,7540.72,55,at_open,0.993545,0.006455,at_close
Strat_2,SPY,BUY,505.28,94410.2,0.605,57118.17,113,at_open,at_close,0.38,at_close
