strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,SELL,71.07,9131.95,3.95,36071.2,507,at_open,0.993,0.007,at_close
Short_Open,USO,SELL,76.81,10094.26,1.0,10094.26,131,at_open,0.971905,0.028095,at_close
Short_Open,XLI,SELL,123.19,10276.87,2.23,22917.42,186,at_open,0.994031,0.005969,at_close
Short_Open,AMLP,SELL,48.0,9317.16,1.44,13416.71,279,at_open,0.99251,0.00749,at_close
Short_Open,SPY,SELL,541.23,11183.16,1.0,11183.16,20,at_open,0.996044,0.003956,at_close
