strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,SELL,72.87,9248.07,3.495,32322.0,443,at_open,0.981,0.019,at_close
Short_Open,USO,HOLD,72.45,9813.13,1.29,12658.94,174,at_open,0.994494,0.005506,at_close
Short_Open,XLI,SELL,122.05,10214.54,1.0,10214.54,83,at_open,0.981627,0.018373,at_close
Short_Open,AMLP,SELL,46.77,9720.74,1.0,9720.74,207,at_open,0.99251,0.00749,at_close
Short_Open,SPY,SELL,522.15,10997.39,1.0,10997.39,21,at_open,0.996044,0.003956,at_close
