strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,AMLP,SELL,49.48,5307.59,2.86,15179.71,306,at_open,0.99251,0.00749,at_close
Strat_1,IVE,SELL,182.5,3928.9,4.0,15715.6,86,at_open,0.995226,0.004774,at_close
Strat_1,IVW,HOLD,94.04,4117.65,1.645,6773.53,72,at_open,0.996572,0.003428,at_close
Strat_1,IWM,HOLD,194.94,6157.18,4.0,24628.72,126,at_open,0.997386,0.002614,at_close
Strat_1,SPY,HOLD,550.85,3303.4,4.0,13213.6,23,at_open,0.998378,0.001622,at_close
Strat_1,USO,HOLD,67.76,4054.72,4.0,16218.88,239,at_open,0.994494,0.005506,at_close
Strat_1,XLF,SELL,48.17,4218.84,4.0,16875.36,350,at_open,0.99338,0.00662,at_close
Strat_1,XLI,SELL,129.44,4463.92,2.745,12253.46,94,at_open,0.994031,0.005969,at_close
Strat_1,XLU,SELL,78.69,6783.07,2.965,20111.8,255,at_open,0.993,0.007,at_close
Strat_1,XLV,HOLD,138.6,5609.51,0.63,3533.99,25,at_open,0.998411,0.001589,at_close
Strat_2,SPY,BUY,550.85,99803.68,0.73,72856.69,132,at_open,at_close,0.38,at_close
