strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,SELL,63.23,10110.97,1.77,17896.42,283,at_open,0.993,0.007,at_close
Short_Open,USO,SELL,77.98,10028.18,4.0,40112.72,514,at_open,0.971905,0.028095,at_close
Short_Open,XLI,SELL,121.88,9841.88,2.005,19732.97,161,at_open,0.994031,0.005969,at_close
Short_Open,AMLP,SELL,46.73,9454.78,3.22,30444.39,651,at_open,0.99251,0.00749,at_close
Short_Open,SPY,SELL,512.86,10824.92,4.0,43299.68,84,at_open,0.996044,0.003956,at_close
