strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,AMLP,SELL,46.56,5332.74,3.425,18264.63,392,at_open,0.99251,0.00749,at_close
Strat_1,IVE,SELL,178.31,3999.3,4.0,15997.2,89,at_open,0.995226,0.004774,at_close
Strat_1,IVW,HOLD,90.39,3986.26,2.155,8590.39,95,at_open,0.996572,0.003428,at_close
Strat_1,IWM,HOLD,184.36,6157.18,4.0,24628.72,133,at_open,0.997386,0.002614,at_close
Strat_1,SPY,HOLD,533.94,3383.26,4.0,13533.04,25,at_open,0.998378,0.001622,at_close
Strat_1,USO,HOLD,66.46,4079.8,4.0,16319.2,245,at_open,0.994494,0.005506,at_close
Strat_1,XLF,SELL,46.67,4256.67,4.0,17026.68,364,at_open,0.99338,0.00662,at_close
Strat_1,XLI,SELL,125.67,4270.59,3.395,14498.65,115,at_open,0.981627,0.018373,at_close
Strat_1,XLU,SELL,76.32,6617.48,2.14,14161.41,185,at_open,0.993,0.007,at_close
Strat_1,XLV,SELL,136.87,5540.28,1.43,7922.6,57,at_open,0.993545,0.006455,at_close
Strat_2,SPY,BUY,533.94,100130.09,0.54,54070.25,101,at_open,at_close,0.38,at_close
