strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,HOLD,71.34,9394.68,1.105,10381.12,145,at_open,0.9978,0.0022,at_close
Short_Open,USO,HOLD,76.52,10056.39,1.0,10056.39,131,at_open,0.994494,0.005506,at_close
Short_Open,XLI,SELL,125.59,10311.31,1.0,10311.31,82,at_open,0.994031,0.005969,at_close
Short_Open,AMLP,SELL,47.0,9134.96,1.0,9134.96,194,at_open,0.99251,0.00749,at_close
Short_Open,SPY,SELL,520.17,11526.45,4.0,46105.8,88,at_open,0.996044,0.003956,at_close
