strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Short_Open,XLU,SELL,69.2,9410.74,2.105,19809.61,286,at_open,0.993,0.007,at_close
Short_Open,USO,HOLD,78.67,10019.5,1.0,10019.5,127,at_open,0.994494,0.005506,at_close
Short_Open,XLI,SELL,123.15,10417.68,1.295,13490.9,109,at_open,0.994031,0.005969,at_close
Short_Open,AMLP,SELL,46.09,9508.56,1.0,9508.56,206,at_open,0.99251,0.00749,at_close
Short_Open,SPY,HOLD,548.49,11192.89,1.505,16845.3,30,at_open,0.998378,0.001622,at_close
