strat,ticker,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,stop_price
Short_Open,XLI,119.59,10000.0,2.0,20000.0,167,119.86,119.14,120.22
Short_Open,AMLP,46.01,10000.0,2.0,20000.0,434,45.89,45.55,46.12
Short_Open,SPY,507.5,10000.0,2.0,20000.0,39,509.27,507.26,507.85
