,open_low_1,open_close_1,Gap_1,open_low_0,open_close_0,Gap_0,open_low_2,open_close_2,gap_2
count,2168.0,2168.0,2168.0,940.0,940.0,940.0,3088.0,3088.0,3088.0
min,0.0,-10.0342,-8.2501,1.3827,-0.9736,-9.0795,0.0,-1.2367,-4.1699
max,5.5272,-0.2563,5.466,11.1437,10.1737,9.9159,3.3866,1.3871,5.5106
mean,0.3826,-1.1939,0.0804,2.506,1.9623,0.074,0.8538,0.2662,0.0315
median,0.2614,-0.9605,0.075,2.2014,1.7327,0.1007,0.8095,0.2154,0.0501
std,0.4781,0.8592,0.877,1.0734,0.9636,1.2001,0.4558,0.4556,0.6379
skew,4.504,-3.1316,-0.4857,2.9054,2.5136,0.2425,0.6426,0.3075,-0.3208
kurtosis,33.6793,16.888,10.6736,12.71,12.7706,16.1346,0.6854,-0.6576,7.5114
