,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,1257.0,1257.0,1257.0,493.0,493.0,493.0,766.0,766.0,766.0
min,0.0,-2.5932,-0.1665,0.4193,0.0244,-3.4604,0.0,-3.3496,-3.9922
max,1.2794,0.537,5.42,5.247,4.1092,2.4564,1.7182,1.0603,-0.0864
mean,0.2609,-0.1978,0.3991,1.0091,0.7354,0.0674,0.3056,-0.134,-0.6142
median,0.2313,-0.1081,0.2902,0.8759,0.6225,0.0264,0.2448,-0.063,-0.4715
std,0.1973,0.4396,0.462,0.5201,0.4407,0.5947,0.2376,0.4658,0.4768
skew,1.0697,-1.6061,2.9799,2.9397,2.4796,0.0064,1.2885,-1.9793,-2.0275
kurtosis,1.5472,3.935,20.6308,13.9479,10.4095,3.5308,2.5971,8.9072,7.058
