0
Volume
Dividends
open_low
open_close
open_high
high_low
low_close
high_close
gap
XLE_mom1
XLE_mom2
XLE_mom3
XLE_mom4
XLE_mom5
XLE_mom10
XLE_mom15
XLE_mom20
XLE_mom60
XLE_mom120
XLE_mom180
XLE_mom240
ATR
MACD
hammer
hanging_man
engulfing_pattern
dark_cloud
piercing_line
morning_star
evening_star
shooting_star
inverted_hammer
harami
harami_cross
belt_hold
upsidegap_two_crows
three_black_crows
three_white_soldiers
advance_block
stalled_pattern
counterattack
tasuki
rf_three_methods
separating_lines
long_legged_doji
gravestone_doji
dragonfly_doji
tristar_doji
SPY_return
labels
