,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1239.0,1239.0,1239.0,1038.0,1038.0,1038.0
min,-6.7896,0.0381,0.0,0.0022,-0.0,0.0664
max,0.0,6.9621,4.7821,6.0723,6.0472,6.4065
mean,-0.7394,1.0086,0.3772,0.8156,0.3683,1.2389
median,-0.5476,0.7957,0.2681,0.5414,0.242,1.0102
std,0.7008,0.766,0.4151,0.8238,0.4478,0.8865
skew,-2.2905,2.1932,3.5906,1.7298,4.3575,1.4835
kurtosis,9.4536,8.0254,22.8952,3.6762,36.6905,2.8172
