,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1076.0,1076.0,1076.0,935.0,935.0,935.0
min,-5.0396,0.0332,0.0,0.0059,-0.0,0.0207
max,0.0,5.7139,5.1762,5.2766,6.9083,5.7629
mean,-0.5268,0.7525,0.2809,0.5828,0.2578,0.8855
median,-0.3765,0.6042,0.1797,0.38,0.1642,0.6849
std,0.5479,0.6097,0.4084,0.6056,0.37,0.6875
skew,-2.7843,2.858,5.8957,2.2352,7.9506,2.0154
kurtosis,12.7527,13.4839,54.2549,7.6133,118.9433,6.392
