,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1214.0,1214.0,1214.0,1061.0,1061.0,1061.0
min,-5.0396,0.0332,0.0,0.0059,-0.0,0.0207
max,0.0,5.7139,5.1762,5.2766,6.9083,5.7629
mean,-0.5086,0.7322,0.2732,0.5657,0.249,0.8631
median,-0.3629,0.5925,0.1773,0.3738,0.161,0.6751
std,0.5284,0.5876,0.39,0.5855,0.3535,0.6626
skew,-2.8398,2.9223,6.0537,2.2861,8.1011,2.0824
kurtosis,13.5577,14.379,58.4637,8.103,126.6583,6.9393
