,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1112.0,1112.0,1112.0,899.0,899.0,899.0
min,-6.4878,0.028,0.0,0.013,-0.0,0.0745
max,0.0,6.5484,4.7032,5.37,6.6868,89.967
mean,-0.6357,0.8671,0.3109,0.7306,0.3097,1.1804
median,-0.4296,0.658,0.1988,0.4582,0.1885,0.8385
std,0.6754,0.7289,0.4006,0.7622,0.4427,3.083
skew,-2.6822,2.4252,4.3182,1.8744,6.3799,26.6371
kurtosis,11.8206,9.5272,29.8073,4.1737,70.7123,763.8202
