features
Volume
open_low
open_close
open_high
high_low
low_close
high_close
gap
IWM_mom1
IWM_mom2
IWM_mom3
IWM_mom4
IWM_mom5
IWM_mom10
IWM_mom15
IWM_mom20
IWM_mom60
IWM_mom120
IWM_mom180
IWM_mom240
ATR
MACD
diff_Close_8
diff_Close_25
diff_Close_50
diff_Close_100
diff_Close_200
diff_8_50
diff_50_100
diff_50_200
