,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1242.0,1242.0,1242.0,1034.0,1034.0,1034.0
min,-9.5954,0.0908,0.0,0.0144,-0.0,0.0871
max,0.0,10.524,3.6687,8.7863,7.7162,9.4298
mean,-0.7004,1.0305,0.3758,0.7684,0.3607,1.1832
median,-0.5345,0.8746,0.2906,0.5665,0.2706,0.9814
std,0.7065,0.7842,0.3399,0.7526,0.4049,0.8545
skew,-4.0974,4.3391,2.3235,2.8166,6.9978,2.9737
kurtosis,33.9328,34.7771,11.5978,16.2926,107.6956,16.793
