,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1523.0,1523.0,1523.0,1746.0,1746.0,1746.0
min,0.0,-0.0,0.079,-25.4702,0.0803,0.0
max,37.1869,14.2894,38.5825,-0.0031,27.7903,18.1523
mean,2.3141,0.8911,3.6018,-2.4489,3.4114,0.9388
median,1.3488,0.4698,2.5315,-1.5139,2.5409,0.5287
std,2.7805,1.2678,3.5382,2.7562,3.113,1.3311
skew,3.1302,4.4463,2.7404,-2.4984,2.3101,4.2496
kurtosis,20.4906,31.5232,12.6672,9.6552,8.0416,31.4241
