,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1231.0,1231.0,1231.0,1045.0,1045.0,1045.0
min,-6.179,0.0258,0.0,0.0093,-0.0,0.0432
max,0.0,7.2574,5.2457,5.694,8.3153,9.2224
mean,-0.6386,0.9191,0.3395,0.6959,0.3661,1.0611
median,-0.4642,0.7507,0.2343,0.4928,0.2496,0.8576
std,0.6262,0.6872,0.3948,0.6797,0.5011,0.8129
skew,-2.4271,2.9947,4.4191,2.1316,7.7519,2.9273
kurtosis,10.2828,16.7693,36.0478,6.7279,96.9974,16.7129
