,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,1180.0,1180.0,1180.0,206.0,206.0,206.0,1130.0,1130.0,1130.0
min,0.02,-0.38,-3.13,0.78,0.09,-4.58,0.0,-4.45,-3.04
max,1.43,0.73,1.68,4.35,4.05,2.71,1.74,0.0,1.9
mean,0.41,0.18,0.01,1.36,1.04,-0.07,0.15,-0.4,0.01
median,0.37,0.15,0.01,1.19,0.91,-0.03,0.11,-0.29,0.01
std,0.22,0.2,0.23,0.55,0.48,0.57,0.15,0.37,0.25
skew,0.7,0.5,-1.89,2.13,1.98,-2.54,3.11,-3.57,-0.56
kurtosis,0.1,-0.28,33.35,6.06,7.13,23.78,18.61,23.08,29.23
