,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1248.0,1248.0,1248.0,1029.0,1029.0,1029.0
min,-4.7994,0.0295,0.0,0.0023,-0.0,0.0348
max,0.0,5.3238,5.5406,5.6623,6.5163,5.7857
mean,-0.5363,0.7568,0.3166,0.6021,0.2913,0.916
median,-0.3794,0.5753,0.1978,0.3894,0.1806,0.7014
std,0.557,0.6369,0.4081,0.6497,0.4202,0.7211
skew,-2.7124,2.7239,4.8223,2.149,6.365,1.7758
kurtosis,11.8845,11.5497,39.1882,6.7311,66.5632,4.2625
