,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1050.0,1050.0,1050.0,1228.0,1228.0,1228.0
min,0.0,-0.0,0.0551,-4.7986,0.0542,0.0
max,5.6619,6.5199,5.7845,-0.002,5.3323,5.5384
mean,0.5934,0.2953,0.9029,-0.5487,0.7709,0.3227
median,0.3741,0.186,0.6797,-0.3863,0.5812,0.1966
std,0.6552,0.4197,0.7243,0.5631,0.6532,0.4195
skew,2.2299,6.2799,1.8516,-2.6707,2.8042,4.6653
kurtosis,7.1917,65.5225,4.6052,11.4442,12.1179,36.1113
