,daily_ret
1999-12-06,-0.012539999999999996
1999-12-07,0.008797318372389729
1999-12-08,-0.0027736870160730565
1999-12-09,0.003805175038051889
1999-12-10,-0.007728919214893382
1999-12-13,-0.0019707779115211155
1999-12-14,-0.001964543036150568
1999-12-15,0.0038556485758958203
1999-12-16,0.0013746162950654117
1999-12-17,-0.004451276688734684
1999-12-20,-0.019402484191187952
1999-12-21,-0.005347505117971996
1999-12-22,-0.007796192963052229
1999-12-23,-0.003658429264081553
1999-12-27,-0.02859468189809644
1999-12-28,-0.008021025695426176
1999-12-29,-0.01558905819653178
1999-12-30,-0.0003325477815737665
1999-12-31,0.0013772058024499323
2000-01-03,-0.05182333999211575
2000-01-04,0.030265057201717127
2000-01-05,-0.0038722124547854175
2000-01-06,-0.00034138742123912547
2000-01-07,0.005818089922558389
2000-01-10,0.003159879489982753
2000-01-11,-0.00646682536638199
2000-01-12,-0.005709496978327122
2000-01-13,-0.01885771062459307
2000-01-14,-0.00752882674619193
2000-01-18,-0.003917291204860396
2000-01-19,0.0032356438907792384
2000-01-20,0.0023238400165253026
2000-01-21,0.010974007573610889
2000-01-24,-0.015837570506955112
2000-01-25,0.011136662131818298
2000-01-26,0.0023394426539755653
2000-01-27,0.008615994862916088
2000-01-28,0.004179095542413025
2000-01-31,-0.052492493456495315
2000-02-01,-0.006452877538105639
2000-02-02,0.006620226032735932
2000-02-03,-0.0029979819879111247
2000-02-04,0.0136152160353753
2000-02-07,-0.0012486561682178987
2000-02-08,0.009305308328988238
2000-02-09,-0.003010624475961343
2000-02-10,0.002333579119529583
2000-02-11,0.017636390862352913
2000-02-14,-0.0021815243109163385
2000-02-15,0.0005652997258940307
2000-02-16,0.0014878985421635793
2000-02-17,0.005178884075457191
2000-02-18,0.027713126726260473
2000-02-22,0.0073220397239877055
2000-02-23,0.021839001761083
2000-02-24,0.039797404617382126
2000-02-25,0.007813085968242817
2000-02-28,0.025235505176554263
2000-02-29,0.0056682016342088914
2000-03-01,0.007340143468288929
2000-03-02,0.015653195431810207
2000-03-03,-0.011172917896343337
2000-03-06,-0.01606945106007529
2000-03-07,0.02751430611146466
2000-03-08,0.0180206686035822
2000-03-09,0.016912761900298445
2000-03-10,0.0006519324179394825
2000-03-13,0.019781269969813886
2000-03-14,0.0016070544798996167
2000-03-15,0.014943796370577633
2000-03-16,0.020903714261914175
2000-03-17,-0.0011668019020593112
2000-03-20,0.0077496441953006645
2000-03-21,0.001541972824530502
2000-03-22,0.014334815976575044
2000-03-23,-0.010379300622917809
2000-03-24,-0.017443834543827363
2000-03-27,-0.0075824716888232
2000-03-28,-0.006610475329467125
2000-03-29,-0.004776971390889617
