,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,302.0,302.0,302.0,713.0,713.0,713.0,1501.0,1501.0,1501.0
min,0.9897,-1.5867,-10.4508,0.0,-4.7983,-3.0808,0.0023,-0.6893,-7.4502
max,5.784,5.6618,3.9458,5.5414,-0.2132,6.0391,1.8027,0.9297,1.6883
mean,1.8544,1.3949,-0.1095,0.2999,-0.8588,0.1849,0.4546,0.0896,-0.013
median,1.6664,1.2269,0.0202,0.1622,-0.7112,0.1866,0.3956,0.0439,0.0234
std,0.7191,0.7525,1.2493,0.4476,0.5807,0.7637,0.3054,0.3012,0.4962
skew,1.5225,1.0873,-2.8607,5.0615,-2.7548,1.1548,0.836,0.4893,-3.2198
kurtosis,3.2895,4.9474,20.3788,40.7703,11.1848,9.7367,0.4509,-0.2927,37.751
