0
labels
open_low
open_close
gap
open_high
low_close
high_close
high_low
Dividends
Volume
GDX_mom1
GDX_mom2
GDX_mom3
GDX_mom4
GDX_mom5
GDX_mom10
GDX_mom15
GDX_mom20
GDX_mom60
GDX_mom120
GDX_mom180
GDX_mom240
last_day
