,open_low_1,open_close_1,Gap_1,open_low_0,open_close_0,Gap_0,open_low_2,open_close_2,gap_2
count,1633.0,1633.0,1633.0,734.0,734.0,734.0,3830.0,3830.0,3830.0
min,0.0,-10.3028,-9.0738,1.1496,-4.6307,-11.0654,0.0,-0.7737,-3.5258
max,5.1085,-0.3586,6.0052,48.0941,8.372,6.0909,2.4823,1.1481,5.2306
mean,0.2806,-1.0281,0.0388,2.2312,1.6317,-0.0749,0.5379,0.1362,0.0655
median,0.151,-0.7821,0.0403,1.8298,1.4331,0.0091,0.4774,0.0728,0.0657
std,0.4278,0.791,0.8529,2.1655,0.9516,1.1985,0.3633,0.3643,0.5117
skew,4.6495,-3.8732,-0.9303,14.8974,1.6608,-1.5208,0.8364,0.5278,0.4154
kurtosis,34.2338,24.5732,16.2344,289.4964,12.2144,15.9756,0.7587,-0.4186,10.2945
