,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,256.0,256.0,256.0,90.0,90.0,90.0,154.0,154.0,154.0
min,0.003,-0.6542,-2.1738,1.1228,0.2372,-2.8783,0.0,-5.3517,-5.3571
max,1.5758,1.0871,2.2558,4.0796,4.0085,3.8778,1.3475,-0.4124,4.8207
mean,0.6368,0.1058,-0.0553,1.9577,1.5345,0.1396,0.2976,-1.2001,0.1205
median,0.5971,0.0772,-0.0334,1.8062,1.3815,0.0786,0.2357,-1.077,0.1134
std,0.3397,0.3944,0.6337,0.6494,0.6791,0.9776,0.2695,0.6852,0.9697
skew,0.3386,0.3739,-0.1848,1.2281,1.2891,0.4467,1.4086,-2.647,-0.4052
kurtosis,-0.4555,-0.7474,1.0707,1.2674,2.525,2.3207,2.0433,10.9239,9.388
