,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1080.0,1080.0,1080.0,931.0,931.0,931.0
min,-8.1038,0.0578,0.0,0.0046,-0.0,0.0767
max,0.0,9.7689,5.5265,5.9273,6.6806,6.9485
mean,-0.9434,1.3601,0.5029,1.0082,0.4867,1.5521
median,-0.7172,1.1678,0.382,0.7174,0.3388,1.271
std,0.91,0.9807,0.5016,0.9538,0.5758,1.0365
skew,-2.5249,2.5161,3.0973,1.7777,4.1913,1.6112
kurtosis,11.305,11.9016,18.0185,3.8531,29.9809,3.4967
