,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1248.0,1248.0,1248.0,1029.0,1029.0,1029.0
min,-4.7994,0.0295,0.0,0.0023,-0.0,0.0348
max,0.0,5.3238,5.5406,5.6623,6.5163,5.7857
mean,-0.5363,0.7567,0.3166,0.6021,0.2913,0.916
median,-0.3794,0.5753,0.1978,0.3894,0.1806,0.7014
std,0.5571,0.6369,0.4081,0.6497,0.4202,0.7211
skew,-2.712,2.7234,4.8222,2.149,6.3648,1.7757
kurtosis,11.8817,11.5467,39.1873,6.7308,66.5588,4.2623
