,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1231.0,1231.0,1231.0,1047.0,1047.0,1047.0
min,-9.6078,0.0895,0.0,0.0138,-0.0,0.0634
max,0.0,10.5447,3.6575,8.7888,7.7343,9.4228
mean,-0.708,1.0419,0.3734,0.7648,0.3639,1.1833
median,-0.5459,0.8853,0.2922,0.5715,0.2721,0.9718
std,0.7074,0.7872,0.3373,0.7535,0.4042,0.8566
skew,-4.1036,4.3309,2.3479,2.8349,6.9863,2.9435
kurtosis,33.9676,34.5342,11.9524,16.3421,107.8999,16.4796
