,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1243.0,1243.0,1243.0,1034.0,1034.0,1034.0
min,-9.5954,0.0908,0.0,0.0144,-0.0,0.0871
max,0.0,10.524,3.6687,8.7863,7.7162,9.4298
mean,-0.7,1.03,0.376,0.7684,0.3607,1.1832
median,-0.5338,0.8744,0.2912,0.5665,0.2706,0.9814
std,0.7064,0.7841,0.3398,0.7526,0.4049,0.8545
skew,-4.0974,4.3391,2.3219,2.8166,6.9978,2.9736
kurtosis,33.936,34.7806,11.5959,16.2926,107.6956,16.7925
