,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,461.0,461.0,461.0,1006.0,1006.0,1006.0,1049.0,1049.0,1049.0
min,1.4151,-0.4751,-21.8786,0.0,-11.5721,-0.3811,0.0,-12.1086,-10.6888
max,27.5862,13.4483,5.9632,5.0798,2.3914,11.546,5.0314,1.2838,2.1926
mean,3.2619,2.3799,-0.5798,0.9489,-0.1166,1.1998,0.6923,-0.8584,-0.8807
median,2.8095,2.0735,-0.3918,0.8418,0.0,0.9152,0.5506,-0.6499,-0.6182
std,1.9283,1.3434,2.2418,0.6995,1.0619,1.1801,0.5825,1.3402,1.096
skew,5.9552,2.8177,-3.1767,1.335,-1.8425,2.6643,1.572,-1.9897,-2.1071
kurtosis,59.8778,15.5851,23.6214,3.4969,13.8891,12.6534,4.7914,8.5584,9.3456
