,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1193.0,1193.0,1193.0,1084.0,1084.0,1084.0
min,-6.0601,0.0308,0.0,0.0107,-0.0,0.1171
max,0.0,10.4,5.5845,9.0294,4.4408,9.2275
mean,-0.7156,1.0364,0.402,0.7947,0.3499,1.1977
median,-0.555,0.848,0.2937,0.5763,0.2641,0.9905
std,0.6744,0.7672,0.4206,0.7655,0.3828,0.8291
skew,-2.4856,3.6489,3.8341,2.7845,3.7561,2.6969
kurtosis,10.2094,26.7326,29.0767,16.4754,26.5382,14.3639
