Date,return
2000-02-18,0.005752636625119894
2000-02-22,0.009438470728793214
2000-02-23,-0.005997510467353187
2000-02-24,-0.0028802481444554218
2000-02-25,-0.007822242376147804
2000-02-28,0.016787658802177904
2000-02-29,-0.00464139683942979
2000-03-01,0.00405568343746564
2000-03-02,-0.027266606822262035
2000-03-03,0.006161036753770961
2000-03-06,0.01675801011804388
2000-03-07,-0.006848582129481012
2000-03-08,0.00031813361611878193
2000-03-09,0.0011284366023799695
2000-03-10,-0.039357098701833994
2000-03-13,0.011215744365675464
2000-03-14,0.00823994726433751
2000-03-15,-0.024311926605504474
2000-03-16,0.006834454328487846
2000-03-17,0.001703396146066183
2000-03-20,0.014460999123575891
2000-03-21,-0.01573057432432427
2000-03-22,0.004242988719859369
2000-03-23,0.012712295332045154
2000-03-24,-0.0037129954841945844
2000-03-27,-0.0065123735096684265
2000-03-28,-0.005448750899557943
2000-03-29,0.024989274989274973
2000-03-30,-0.008249917500824992
2000-03-31,0.01583710407239818
2000-04-03,-0.006762177650429839
2000-04-04,0.043513482235852226
2000-04-05,-0.022505007658772197
2000-04-06,0.0158839779005526
2000-04-07,0.00940473556096491
2000-04-10,-0.029928125368210275
2000-04-11,-0.0013275404296403503
2000-04-12,0.008848422672480094
2000-04-13,-0.02198686150958574
2000-04-14,-0.029355643622486424
2000-04-17,0.0015795708832434454
2000-04-18,0.0055142344190817205
2000-04-19,0.013359788359788429
2000-04-20,-0.04367225527312047
2000-04-24,0.02060133630289518
2000-04-25,-0.0016951362628764566
2000-04-26,-0.03861733729408587
2000-04-27,-0.02533936651583721
2000-04-28,-0.010583987050180479
2000-05-01,-0.00789538613372811
2000-05-02,-0.00693808090064146
2000-05-03,0.0014559894109860945
2000-05-04,-0.013340377757231422
2000-05-05,-0.010321248871113551
2000-05-08,-0.00711504899986577
2000-05-09,-0.018930041152263506
2000-05-10,-0.037573964497041513
2000-05-11,-0.008922347692736659
2000-05-12,0.002230586923184115
2000-05-15,-0.019102324338765787
2000-05-16,0.017277214861002834
2000-05-17,-0.0006632179334128818
2000-05-18,0.023386985830238037
2000-05-19,-0.0007221259387636794
2000-05-22,0.0030351206821794155
2000-05-23,-0.002523261315250019
2000-05-24,-0.009348568036800644
2000-05-25,-0.0
2000-05-26,0.028983308042488564
2000-05-30,0.012822280435681881
2000-05-31,0.024836786829406758
2000-06-01,0.060086416419119666
2000-06-02,0.014616935483870925
2000-06-05,-0.007164404223227845
2000-06-06,0.0033613445378151926
2000-06-07,-0.010074297947361758
2000-06-08,-0.016067813765182133
2000-06-09,0.005914181452120283
2000-06-12,0.002730109204368278
2000-06-13,-0.006634121917636765
2000-06-14,-0.002689204763734255
2000-06-15,0.010570026425066105
2000-06-16,-0.0025034422330705076
2000-06-19,-0.0025279884434814973
2000-06-20,-0.008338368580060396
2000-06-21,-0.0025056675814342914
2000-06-22,0.0026009412930393084
2000-06-23,-0.01701908200103137
2000-06-26,-0.002510040160642606
2000-06-27,-0.0012703252032519603
2000-06-28,-0.011295180722891637
2000-06-29,-0.0018022657054581146
2000-06-30,0.0006313131313130954
2000-07-03,0.017091899925687336
2000-07-05,-0.0
2000-07-06,-0.010667670682730852
2000-07-07,-0.013034923757992967
2000-07-10,-0.004494943188912466
2000-07-11,0.0045945610331554025
2000-07-12,-0.007157588256702525
2000-07-13,-0.01784644867648831
2000-07-14,-0.0031656700668307655
2000-07-17,0.013565217391304368
2000-07-18,0.01197533791795121
2000-07-19,-0.006429697925512397
2000-07-20,0.01927597555242126
2000-07-21,-0.009729992702505439
2000-07-24,-0.006581398236681996
2000-07-25,0.0025874815179890804
2000-07-26,0.017641253392548812
2000-07-27,0.003338469440164421
2000-07-28,-0.008555133079847847
2000-07-31,-0.00422107901332269
2000-08-01,0.0041443850267379985
2000-08-02,0.028170930865541743
2000-08-03,-0.017218888599008705
2000-08-04,0.008378059955491565
2000-08-07,0.002046035805626555
2000-08-08,0.004637753823013344
2000-08-09,-0.0019312475859404078
2000-08-10,0.006305004597399052
2000-08-11,-0.0033683119575075157
2000-08-14,0.0026639604211593777
2000-08-15,-0.0046936445515667205
2000-08-16,0.010674368956423388
2000-08-17,-0.001971414489896459
2000-08-18,0.007802823879118277
2000-08-21,0.005188387893761602
2000-08-22,-0.008523780111179713
2000-08-23,0.003889631700498449
2000-08-24,-0.0008378216636743648
2000-08-25,0.002166064981949541
2000-08-28,0.0013175230566534848
2000-08-29,-0.007030505243088696
2000-08-30,-0.007636320248180415
2000-08-31,0.013582540051079657
2000-09-01,-0.009771238073341699
2000-09-05,-0.00248992174531667
2000-09-06,-0.00847978370406781
2000-09-07,-0.0037268574176485
2000-09-08,0.00657323576832446
2000-09-11,-0.0073725689589423955
2000-09-12,-0.012265978050355104
2000-09-13,0.018801261829652933
2000-09-14,0.0013954078396549465
2000-09-15,-0.0054263565891471245
2000-09-18,0.009713835652402138
2000-09-19,-0.002025572857323849
2000-09-20,-0.009225782321406245
2000-09-21,-0.0014788921753159376
2000-09-22,-0.00736227468900734
2000-09-25,-0.0032598774286086846
2000-09-26,0.013322780635799907
2000-09-27,0.009483667017913578
2000-09-28,0.0047674268779797
2000-09-29,-0.0168815632061677
2000-10-02,-0.015231878144974903
2000-10-03,-0.005898876404494406
2000-10-04,0.004408928079360611
2000-10-05,-0.003571919219673102
2000-10-06,-0.00525941719971557
2000-10-09,-0.009851513420902512
2000-10-10,-0.01837902982826151
2000-10-11,-0.028475199020208418
2000-10-12,0.0058103015075376485
2000-10-13,0.0014520110352839919
2000-10-16,0.01366709825924311
