,open_low_0,open_close_0,gap_0,open_low_1,open_close_1,gap_1,open_low_2,open_close_2,gap_2
count,1974.0,1974.0,1974.0,539.0,539.0,539.0,3.0,3.0,3.0
min,0.0,-3.0502,-2.414,0.1192,-0.4417,-1.7619,2.8026,1.5181,-1.7421
max,1.4038,0.115,1.2994,2.007,1.4987,1.7987,5.8399,4.4876,-0.9065
mean,0.0682,-0.05,0.0168,0.2804,0.1888,0.0172,4.3517,3.0567,-1.4598
median,0.0578,-0.0291,0.0107,0.2403,0.159,0.0,4.4126,3.1643,-1.7307
std,0.066,0.1455,0.1377,0.1682,0.1322,0.2112,1.5196,1.4877,0.4792
skew,7.7014,-9.6711,-2.2673,4.8232,2.9889,0.6537,-0.0735,-0.1322,0.7067
kurtosis,136.9396,166.3269,58.6834,36.2147,22.9635,22.092,-1.5,-1.5,-1.5
