0
Volume
Dividends
open_low
open_close
open_high
high_low
low_close
high_close
gap
UUP_mom1
UUP_mom2
UUP_mom3
UUP_mom4
UUP_mom5
UUP_mom10
UUP_mom15
UUP_mom20
UUP_mom60
UUP_mom120
UUP_mom180
UUP_mom240
ATR
MACD
labels
