strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,47.63,5340.05,2.905,15512.85,325,48.17,47.81,0.00749,48.62,48.07,48.77,False,-146.25,5193.8
Strat_1,IVE,SELL,173.78,4076.62,4.0,16306.48,93,175.6,174.76,0.004774,177.98,175.5,178.4,False,-221.34,3855.28
Strat_1,IVW,SELL,85.89,4154.09,1.85,7685.07,89,87.01,85.76,0.014334,88.25,86.74,88.77,False,-110.36,4043.73
Strat_1,IWM,HOLD,182.74,6157.18,4.0,24628.72,134,185.15,184.67,0.002614,187.47,184.55,188.1,True,0.0,6157.18
Strat_1,SPY,SELL,513.88,3436.8,4.0,13747.2,26,520.14,518.08,0.003956,527.25,519.19,529.3,False,-184.86,3251.94
Strat_1,USO,HOLD,68.62,4079.8,4.0,16319.2,237,68.89,68.31,0.008418,69.37,68.72,70.27,False,0.0,4079.8
Strat_1,XLF,SELL,45.65,4427.35,4.0,17709.4,387,46.34,46.03,0.00662,47.16,46.2,47.28,False,-317.34,4110.01
Strat_1,XLI,SELL,122.49,4400.7,3.765,16568.64,135,123.49,122.75,0.005969,124.63,123.12,125.18,False,-153.9,4246.8
Strat_1,XLU,HOLD,75.93,6646.52,2.475,16450.14,216,76.74,76.57,0.0022,78.0,76.68,78.17,False,0.0,6646.52
Strat_1,XLV,SELL,132.57,5636.13,1.43,8059.67,60,133.64,132.78,0.006455,135.06,133.14,135.28,False,-85.2,5550.93
Strat_2,SPY,BUY,513.88,98099.43,0.54,52973.69,103,520.14,at_close,0.38,527.25,519.19,529.3,nan,732.3300000000014,98831.76
