strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,52.57,5733.91,3.35,19208.6,365,51.33,50.95,0.00749,50.62,50.62,51.6,True,143.87,5877.78
Strat_1,IVE,SELL,191.29,5613.03,4.0,22452.12,117,186.33,185.44,0.004774,183.31,183.18,187.01,True,107.19,5720.22
Strat_1,IVW,HOLD,94.31,5405.79,1.88,10162.89,107,90.12,89.81,0.003428,89.13,89.02,90.87,True,0.0,5405.79
Strat_1,IWM,HOLD,202.66,5964.06,4.0,23856.24,117,193.11,192.61,0.002614,189.65,189.2,195.06,True,0.0,5964.06
Strat_1,SPY,HOLD,564.52,5480.15,4.0,21920.6,38,545.11,544.23,0.001622,536.7,536.7,547.97,True,0.0,5480.15
Strat_1,USO,HOLD,77.74,5931.96,4.0,23727.84,305,72.16,71.76,0.005506,72.25,71.44,72.7,True,0.0,5931.96
Strat_1,XLF,SELL,50.16,5544.41,4.0,22177.64,442,48.2,47.88,0.00662,47.69,47.6,48.65,True,146.82,5691.23
Strat_1,XLI,SELL,133.05,5358.08,2.585,13850.64,104,128.59,127.82,0.005969,125.85,125.76,129.71,True,82.67,5440.75
Strat_1,XLU,SELL,79.42,5734.75,2.32,13304.62,167,79.32,78.76,0.007,78.92,78.82,80.21,False,66.8,5801.55
Strat_1,XLV,SELL,144.3,5764.49,1.325,7637.95,52,143.76,142.83,0.006455,143.13,143.05,145.19,False,32.76,5797.25
Strat_2,SPY,BUY,564.52,95970.88,0.295,28311.41,50,545.11,at_close,0.38,536.7,536.7,547.97,nan,-420.4999999999984,95550.38
