strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,XLU,SELL,79.1,7028.21,0.11,773.1,9,79.46,78.9,0.007,79.84,79.16,79.97,False,-3.42,7024.79
Strat_1,USO,HOLD,75.82,5388.87,3.74,20154.37,265,76.73,76.31,0.005506,76.96,76.35,77.1087,False,0.0,5388.87
Strat_1,XLI,SELL,137.55,9593.15,1.635,15684.8,114,138.075,137.25,0.005969,138.63,137.88,138.89,False,-63.27,9529.88
Strat_1,AMLP,SELL,51.57,4794.63,1.38,6616.59,128,51.75,51.36,0.00749,52.39,51.7111,52.43,False,-81.92,4712.71
Strat_1,SPY,HOLD,609.7,28096.0,4.0,112384.0,184,610.88,609.89,0.001622,611.49,608.38,611.49,True,0.0,28096.0
Strat_2,SPY,BUY,609.7,105211.4,4.0,420845.6,690,610.88,at_close,0.38,611.49,608.38,611.49,nan,420.9000000000094,105632.3
