strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,XLU,SELL,77.65,6988.79,0.055,384.38,4,77.61,77.07,0.007,76.58,75.9,77.61,True,2.69,6991.48
Strat_1,USO,HOLD,77.93,5190.75,2.34,12146.36,155,78.87,78.44,0.005506,78.86,77.81,78.95,True,0.0,5190.75
Strat_1,XLI,SELL,139.18,9718.78,2.915,28330.24,203,139.51,138.68,0.005969,138.26,137.85,139.63,True,169.1,9887.88
Strat_1,AMLP,SELL,51.11,4866.57,0.455,2214.29,43,51.2,50.82,0.00749,51.76,50.99,51.78,False,-24.08,4842.49
Strat_1,SPY,SELL,599.37,29296.96,4.0,117187.84,195,600.62,598.24,0.003956,604.43,597.26,605.37,True,463.6,29760.56
Strat_2,SPY,BUY,599.37,102298.05,2.765,282854.11,471,600.62,at_close,0.38,604.43,597.26,605.37,nan,1794.5099999999743,104092.55999999998
