strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,HOLD,49.47,5307.59,2.89,15338.94,310,49.5,49.35,0.003082,49.48,49.12,49.65,True,0.0,5307.59
Strat_1,IVE,HOLD,181.84,3928.9,4.0,15715.6,86,182.37,182.09,0.00151,182.5,180.92,183.1,True,0.0,3928.9
Strat_1,IVW,HOLD,94.11,4117.65,1.645,6773.53,71,94.31,93.99,0.003428,94.04,92.8,94.59,True,0.0,4117.65
Strat_1,IWM,HOLD,194.12,6157.18,4.0,24628.72,126,194.5,193.99,0.002614,194.94,192.53,196.15,True,0.0,6157.18
Strat_1,SPY,HOLD,550.64,3303.4,4.0,13213.6,23,551.39,550.5,0.001622,550.85,545.02,553.55,True,0.0,3303.4
Strat_1,USO,HOLD,69.03,4054.72,4.0,16218.88,234,68.87,68.49,0.005506,67.76,67.17,69.04,True,0.0,4054.72
Strat_1,XLF,HOLD,48.02,4218.84,4.0,16875.36,351,48.22,48.12,0.002013,48.17,47.83,48.57,True,0.0,4218.84
Strat_1,XLI,HOLD,129.01,4463.92,2.845,12699.85,98,129.23,128.99,0.001837,129.44,128.22,130.3,True,0.0,4463.92
Strat_1,XLU,SELL,78.21,6892.63,2.835,19540.61,249,78.25,77.7,0.007,78.69,77.71,78.85,False,-109.56,6783.07
Strat_1,XLV,HOLD,138.05,5609.51,0.7,3926.66,28,138.24,138.02,0.001589,138.6,137.4,139.04,True,0.0,5609.51
Strat_2,SPY,BUY,550.64,99884.68,0.83,82904.28,150,551.39,at_close,0.38,550.85,545.02,553.55,nan,-80.99999999999454,99803.68
