strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,XLU,HOLD,79.2,7026.34,0.19,1335.0,16,78.73,78.56,0.0022,78.65,78.14,78.87,True,0.0,7026.34
Strat_1,USO,HOLD,72.71,5741.06,4.0,22964.24,315,73.39,72.99,0.005506,72.21,71.97,73.49,True,0.0,5741.06
Strat_1,XLI,HOLD,132.94,9884.99,1.795,17743.56,133,132.38,132.14,0.001837,131.88,131.13,132.58,True,0.0,9884.99
Strat_1,AMLP,HOLD,52.22,4669.14,2.655,12396.57,237,52.3,52.14,0.003082,52.09,51.93,52.43,True,0.0,4669.14
Strat_1,SPY,HOLD,565.45,30606.25,4.0,122425.0,216,563.11,562.2,0.001622,559.34,557.38,563.33,True,0.0,30606.25
Strat_2,SPY,BUY,567.15,94536.02,0.26,24579.37,43,564.8,at_close,0.38,561.02,559.06,565.02,nan,-162.53999999999883,94373.48000000001
