strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,51.94,5777.0,3.11,17966.47,345,51.95,51.56,0.00749,52.26,51.46,52.26,True,134.57,5911.57
Strat_1,IVE,SELL,190.58,5777.0,4.0,23108.0,121,189.96,189.05,0.004774,190.33,188.64,191.03,True,110.32,5887.32
Strat_1,IVW,SELL,92.83,5777.0,1.94,11207.38,120,92.45,91.12,0.014334,93.5,91.89,93.8,False,-126.0,5651.0
Strat_1,IWM,SELL,199.49,5777.0,4.0,23108.0,115,198.99,197.38,0.008095,199.51,196.66,201.23,True,187.06,5964.06
Strat_1,SPY,SELL,559.39,5777.0,4.0,23108.0,41,557.45,555.24,0.003956,560.97,553.68,562.94,True,91.42,5868.42
Strat_1,USO,SELL,77.33,5777.0,4.0,23108.0,298,77.6,75.42,0.028095,77.08,76.88,78.01,False,154.96,5931.96
Strat_1,XLF,SELL,49.81,5777.0,4.0,23108.0,463,49.62,49.29,0.00662,49.75,49.2,49.97,True,152.97,5929.97
Strat_1,XLI,SELL,131.07,5777.0,2.585,14933.54,113,130.77,128.37,0.018373,131.81,129.65,132.09,False,-117.52,5659.48
Strat_1,XLU,SELL,78.85,5777.0,2.32,13402.64,169,78.8,78.25,0.007,79.05,78.29,79.28,False,-42.25,5734.75
Strat_1,XLV,SELL,146.01,5777.0,1.88,10860.76,74,145.48,144.54,0.006455,143.34,142.9,145.48,True,70.11,5847.11
Strat_2,SPY,BUY,559.39,95315.0,0.66,62208.17,111,557.45,at_close,0.38,560.97,553.68,562.94,nan,390.719999999998,95705.72
