strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,49.21,5421.29,2.665,14447.74,293,48.75,48.38,0.00749,48.24,47.88,48.92,True,108.21,5529.5
Strat_1,IVE,SELL,183.32,3799.04,4.0,15196.16,82,182.13,181.26,0.004774,183.43,180.0,184.17,True,72.55,3871.59
Strat_1,IVW,HOLD,94.68,4117.65,1.645,6773.53,71,93.0,92.68,0.003428,94.65,92.1,95.02,True,0.0,4117.65
Strat_1,IWM,HOLD,196.09,6157.18,4.0,24628.72,125,193.14,192.64,0.002614,194.86,190.72,195.48,True,0.0,6157.18
Strat_1,SPY,HOLD,554.32,3303.4,4.0,13213.6,23,547.57,546.68,0.001622,554.54,541.52,556.52,True,0.0,3303.4
Strat_1,USO,SELL,65.85,4054.72,4.0,16218.88,246,65.45,63.61,0.028095,63.56,63.3,65.72,True,455.67,4510.39
Strat_1,XLF,SELL,48.67,4047.34,4.0,16189.36,332,48.15,47.83,0.00662,48.76,47.5,48.93,True,107.17,4154.51
Strat_1,XLI,SELL,130.28,4348.3,2.745,11936.08,91,129.41,128.64,0.005969,131.22,127.85,131.59,True,71.25,4419.55
Strat_1,XLU,SELL,79.3,6599.47,2.965,19567.43,246,78.99,78.44,0.007,78.9,77.54,79.17,True,136.97,6736.44
Strat_1,XLV,HOLD,139.28,5609.51,0.52,2916.95,20,139.55,139.33,0.001589,140.47,138.26,140.79,True,0.0,5609.51
Strat_2,SPY,BUY,554.32,100517.8,0.815,81922.01,147,547.57,at_close,0.38,554.54,541.52,556.52,nan,1024.5899999999874,101542.38999999998
