strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,HOLD,49.64,5307.59,2.965,15737.0,317,49.44,49.29,0.003082,49.47,49.0,49.59,True,0.0,5307.59
Strat_1,IVE,HOLD,182.07,3928.9,4.0,15715.6,86,181.56,181.29,0.00151,181.84,180.22,182.08,True,0.0,3928.9
Strat_1,IVW,HOLD,92.81,4117.65,1.645,6773.53,72,93.02,92.7,0.003428,94.11,92.74,94.32,False,0.0,4117.65
Strat_1,IWM,HOLD,194.06,6157.18,4.0,24628.72,126,192.72,192.22,0.002614,194.12,191.55,194.26,True,0.0,6157.18
Strat_1,SPY,HOLD,546.69,3303.4,4.0,13213.6,24,546.65,545.76,0.001622,550.64,543.69,551.05,True,0.0,3303.4
Strat_1,USO,SELL,68.46,4300.7,4.0,17202.8,251,68.05,66.14,0.028095,69.03,68.04,69.18,False,-245.98,4054.72
Strat_1,XLF,HOLD,48.25,4218.84,4.0,16875.36,349,48.01,47.91,0.002013,48.02,47.7,48.23,True,0.0,4218.84
Strat_1,XLI,HOLD,129.02,4463.92,3.145,14039.03,108,128.71,128.47,0.001837,129.01,128.1,129.5,True,0.0,4463.92
Strat_1,XLU,SELL,78.45,6745.08,3.125,21078.38,268,78.52,77.97,0.007,78.21,77.86,78.57,True,147.55,6892.63
Strat_1,XLV,HOLD,137.39,5609.51,1.02,5721.7,41,137.59,137.37,0.001589,138.05,135.88,138.2,True,0.0,5609.51
Strat_2,SPY,BUY,546.69,99342.04,0.75,74506.53,136,546.65,at_close,0.38,550.64,543.69,551.05,nan,542.6400000000012,99884.68
