strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,HOLD,48.77,5307.59,3.005,15949.31,327,49.11,48.96,0.003082,49.64,48.84,49.65,True,0.0,5307.59
Strat_1,IVE,HOLD,179.47,3928.9,4.0,15715.6,87,179.74,179.47,0.00151,182.07,179.0,182.25,True,0.0,3928.9
Strat_1,IVW,HOLD,90.39,4117.65,1.63,6711.77,74,90.67,90.36,0.003428,92.81,90.56,92.9,False,0.0,4117.65
Strat_1,IWM,HOLD,190.25,6157.18,4.0,24628.72,129,190.76,190.26,0.002614,194.06,189.89,194.37,True,0.0,6157.18
Strat_1,SPY,HOLD,535.42,3303.4,4.0,13213.6,24,536.72,535.85,0.001622,546.69,535.45,547.43,True,0.0,3303.4
Strat_1,USO,HOLD,68.05,4300.7,4.0,17202.8,252,68.65,68.27,0.005506,68.46,67.7,68.86,True,0.0,4300.7
Strat_1,XLF,HOLD,47.72,4218.84,4.0,16875.36,353,47.55,47.45,0.002013,48.25,47.36,48.34,True,0.0,4218.84
Strat_1,XLI,HOLD,126.19,4463.92,3.375,15065.73,119,126.14,125.91,0.001837,129.02,125.76,129.26,True,0.0,4463.92
Strat_1,XLU,HOLD,78.33,6745.08,3.125,21078.38,269,78.27,78.1,0.0022,78.45,77.71,78.81,True,0.0,6745.08
Strat_1,XLV,HOLD,135.73,5609.51,1.335,7488.7,55,135.95,135.73,0.001589,137.39,135.12,137.54,True,0.0,5609.51
Strat_2,SPY,BUY,535.42,98195.49,0.63,61863.16,115,536.72,at_close,0.38,546.69,535.45,547.43,nan,1146.5500000000031,99342.04000000001
