strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,HOLD,45.81,5332.74,3.325,17731.36,387,45.96,45.82,0.003082,46.56,45.1,46.64,True,0.0,5332.74
Strat_1,IVE,HOLD,175.37,3999.3,4.0,15997.2,91,174.98,174.72,0.00151,178.31,173.98,179.2,True,0.0,3999.3
Strat_1,IVW,HOLD,88.73,3986.26,2.075,8271.49,93,88.52,88.22,0.003428,90.39,87.97,90.74,True,0.0,3986.26
Strat_1,IWM,HOLD,181.71,6157.18,4.0,24628.72,135,181.14,180.67,0.002614,184.36,178.58,184.85,True,0.0,6157.18
Strat_1,SPY,HOLD,524.58,3383.26,4.0,13533.04,25,523.01,522.16,0.001622,533.94,520.07,536.43,True,0.0,3383.26
Strat_1,USO,HOLD,65.32,4079.8,4.0,16319.2,249,64.65,64.29,0.005506,66.46,64.5,66.79,False,0.0,4079.8
Strat_1,XLF,HOLD,45.91,4256.67,4.0,17026.68,370,45.6,45.51,0.002013,46.67,45.37,46.97,True,0.0,4256.67
Strat_1,XLI,HOLD,123.49,4270.59,2.545,10868.65,88,123.21,122.98,0.001837,125.67,121.99,126.32,True,0.0,4270.59
Strat_1,XLU,HOLD,75.4,6617.48,2.04,13499.66,179,75.36,75.19,0.0022,76.32,74.43,76.58,True,0.0,6617.48
Strat_1,XLV,HOLD,134.89,5540.28,1.22,6759.14,50,135.15,134.94,0.001589,136.87,133.65,137.76,True,0.0,5540.28
Strat_2,SPY,BUY,524.58,99332.2,0.39,38739.56,73,523.01,at_close,0.38,533.94,520.07,536.43,nan,797.8900000000046,100130.09
