strat,ticker,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,stop_price,low,high,pnl,eod_capital
Short_Open,XLI,119.59,10000,2,20000,167,119.86,119.14,120.22,119.76,120.48,-60.1199999999999,9939.88
Short_Open,AMLP,46.01,10000,2,20000,434,45.89,45.55,46.12,45.85,46.27,-99.8199999999986,9900.18
Short_Open,SPY,507.5,10000,2,20000,39,509.27,507.26,507.85,507.1,510.13,55.3799999999984,10055.38
